,Unnamed: 0,Position,Track Name,Artist,Streams,date,region,spotify_id,featured-artist,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,release_date
10065,10065,66,No Idea,Don Toliver,10982760,2019-12-20--2019-12-27,global,3VyjsVV24RmBIbWJAeUJNu,,0.519,0.6509999999999999,0.631,0.000579,0.165,-5.7170000000000005,0.0896,127.994,0.35,85,2019-05-29
3641,3641,42,Tough Love,Avicii,10901893,2019-05-10--2019-05-17,global,4XZxalvnG4Yo8YZLuiT1kV,"Agnes, Vargas & Lagola",0.14300000000000002,0.402,0.754,0.0,0.358,-4.837,0.0432,108.17,0.621,17,2019-05-09
3037,3037,38,Sanguine Paradise,Lil Uzi Vert,10891403,2019-04-19--2019-04-26,global,3XiNC94b4Tq1xwv70sQJGN,,0.0948,0.7290000000000001,0.603,0.0,0.113,-6.736000000000001,0.0666,134.972,0.207,81,2019-04-09
436,436,37,Adictiva,Daddy Yankee,10882484,2019-01-18--2019-01-25,global,6MJUCumnQsQEKbCy28tbCP,Anuel AA,0.29100000000000004,0.7879999999999999,0.7709999999999999,5.6200000000000004e-05,0.172,-3.2060000000000004,0.0563,99.038,0.701,74,2018-11-09
4043,4043,44,Isis,Joyner Lucas,10813990,2019-05-24--2019-05-31,global,36TO60sxDduIsO3xH8IcUh,Logic,0.23399999999999999,0.9179999999999999,0.8370000000000001,0.0,0.22699999999999998,-6.792000000000001,0.255,120.01700000000001,0.855,77,2019-05-23
3843,3843,44,RUNNING OUT OF TIME,"Tyler, The Creator",10704742,2019-05-17--2019-05-24,global,5QvBXUm5MglLJ3iBfTX2Wo,,0.29600000000000004,0.36,0.391,0.00040599999999999995,0.129,-10.6,0.0528,84.281,0.162,70,2019-05-17
10066,10066,67,My Only Wish (This Year),Britney Spears,10688367,2019-12-20--2019-12-27,global,6id0KJ3XgvJLSzyMtHBj67,Britney Spears,0.175,0.6659999999999999,0.8240000000000001,0.0,0.205,-4.743,0.0267,147.069,0.698,21,2019-11-13
1247,1247,48,365,Zedd,10682349,2019-02-15--2019-02-22,global,2XWjPtKdi5sucFYtVav07d,Katy Perry,0.33899999999999997,0.745,0.693,0.0,0.12300000000000001,-5.479,0.034,98.039,0.248,74,2019-02-14
8636,8636,37,Bad To You (with Normani & Nicki Minaj),Ariana Grande,10653590,2019-11-01--2019-11-08,global,7vJS1DPc3FzBtqBs8n3mW5,"Normani, Nicki Minaj",0.065,0.727,0.583,0.0,0.106,-7.385,0.0718,147.983,0.629,69,2019-11-01
10067,10067,68,Christmas Lights,Coldplay,10645847,2019-12-20--2019-12-27,global,4fzyvSu73BhGvi96p2zwjL,,0.131,0.312,0.418,0.000679,0.0836,-9.146,0.0296,130.795,0.237,59,2010-11-26
3644,3644,45,lovely (with Khalid),Billie Eilish,10644962,2019-05-10--2019-05-17,global,0u2P5u6lvoDfwTYjAADbn4,Khalid,0.934,0.35100000000000003,0.29600000000000004,0.0,0.095,-10.109,0.0333,115.28399999999999,0.12,89,2018-04-19
8836,8836,37,Stuck In A Dream (feat. Gunna),Lil Mosey,10615406,2019-11-08--2019-11-15,global,7iHHxY2NLlJRAmlAmC4ahQ,Gunna,0.48100000000000004,0.748,0.648,0.0,0.126,-6.445,0.0816,139.952,0.726,83,2019-11-08
4245,4245,46,Press,Cardi B,10608934,2019-05-31--2019-06-07,global,6dPyzkyZwoj9LqjQXOFdVv,,0.028999999999999998,0.888,0.525,5.68e-06,0.13699999999999998,-5.665,0.305,133.983,0.243,71,2019-05-31
2848,2848,49,Dionysus,BTS,10602014,2019-04-12--2019-04-19,global,6JdS5rJvJaRA7B1tcm7kxZ,,0.04,0.502,0.91,0.0,0.319,-2.7689999999999997,0.107,176.084,0.588,71,2019-04-12
844,844,45,Amanece,Anuel AA,10600299,2019-02-01--2019-02-08,global,1LiN0Z98FkR1t0m8KmLcAH,Haze,0.43700000000000006,0.79,0.631,0.0,0.158,-5.5489999999999995,0.0425,94.039,0.889,77,2018-12-14
4046,4046,47,"A Whole New World (End Title) - From ""Aladdin""",ZAYN,10541734,2019-05-24--2019-05-31,global,1iWHabUgUuuKLBa0TzTHfk,Zhavia Ward,0.0575,0.302,0.414,0.0,0.0861,-8.16,0.0319,110.508,0.105,75,2019-05-09
3846,3846,47,Wieder Lila,Samra,10488632,2019-05-17--2019-05-24,global,2kkcJ8tSDV42LdWcPjy6We,Capital Bra,0.435,0.6559999999999999,0.7559999999999999,0.0,0.0934,-4.026,0.3,168.03099999999998,0.645,72,2019-05-17
2850,2850,51,Jamais Vu,BTS,10441199,2019-04-12--2019-04-19,global,0eeeyCAGnGZInPtpkdYiPa,,0.226,0.608,0.47,0.0,0.0963,-6.73,0.0428,81.0,0.24100000000000002,69,2019-04-12
1846,1846,47,Wolke 10,MERO,10407435,2019-03-08--2019-03-15,global,14f1n3XCW3fQhAODW0CwLK,,0.0662,0.77,0.797,3.81e-06,0.0858,-4.985,0.0693,100.00299999999999,0.39299999999999996,55,2019-03-08
35,35,36,rockstar (feat. 21 Savage),Post Malone,10356940,2019-01-04--2019-01-11,global,0e7ipj03S05BNilyu5bRzt,21 Savage,0.124,0.585,0.52,7.01e-05,0.131,-6.136,0.0712,159.80100000000002,0.129,87,2018-04-27
6841,6841,42,Motivation,Normani,10353406,2019-08-30--2019-09-06,global,0rIAC4PXANcKmitJfoqmVm,,0.0192,0.599,0.887,1.21e-06,0.3,-3.967,0.0984,170.918,0.8809999999999999,79,2019-08-16
439,439,40,Moonlight,XXXTENTACION,10351258,2019-01-18--2019-01-25,global,0JP9xo3adEtGSdUEISiszL,,0.556,0.9209999999999999,0.537,0.00404,0.102,-5.723,0.0804,128.009,0.711,85,2018-03-16
442,442,43,Wake Up in the Sky,Gucci Mane,10323852,2019-01-18--2019-01-25,global,2G1tXoGBaEMJ7FKGnkf6ud,"Bruno Mars, Kodak Black",0.00381,0.8,0.578,0.0,0.36700000000000005,-5.144,0.0485,143.01,0.36700000000000005,71,2018-12-07
9649,9649,50,Legends,Juice WRLD,10321702,2019-12-06--2019-12-13,global,1Knctxx9vGZxpZfF66BIEa,,0.115,0.594,0.7979999999999999,0.0,0.14300000000000002,-5.244,0.0844,142.049,0.381,83,2018-06-22
3850,3850,51,IGOR'S THEME,"Tyler, The Creator",10282645,2019-05-17--2019-05-24,global,51RN0kzWd7xeR4th5HsEtW,,0.0055899999999999995,0.467,0.672,0.243,0.607,-7.371,0.377,163.1,0.0648,67,2019-05-17
7843,7843,44,Good as Hell,Lizzo,10254273,2019-10-04--2019-10-11,global,3Yh9lZcWyKrK9GjbhuS0hR,,0.256,0.682,0.919,0.0,0.442,-3.18,0.0875,95.98200000000001,0.535,77,2016-03-09
240,240,41,Promises (with Sam Smith),Calvin Harris,10250381,2019-01-11--2019-01-18,global,5N5k9nd479b1xpDZ4usjrg,"Sam Smith, Jessie Reyez",0.0119,0.7809999999999999,0.768,4.91e-06,0.325,-5.9910000000000005,0.0394,123.07,0.486,82,2018-08-17
6237,6237,38,Small Talk,Katy Perry,10226283,2019-08-09--2019-08-16,global,4NmE2ytXI8S2svTRSmEdpO,,0.203,0.846,0.631,0.0,0.455,-5.547000000000001,0.1,115.999,0.602,75,2019-08-09
10069,10069,70,Run Rudolph Run - Single Version,Chuck Berry,10208704,2019-12-20--2019-12-27,global,2pnPe4pJtq7689i5ydzvJJ,,0.812,0.6809999999999999,0.715,9.43e-06,0.0777,-10.609000000000002,0.0912,152.132,0.9570000000000001,57,1986-01-01
37,37,38,Solo de Mi,Bad Bunny,10172678,2019-01-04--2019-01-11,global,4uP3pUP18ennmz0tb3GphR,,0.287,0.743,0.73,8.1e-05,0.0778,-4.314,0.125,179.972,0.15,70,2018-12-23
445,445,46,Keanu Reeves,Logic,10133154,2019-01-18--2019-01-25,global,25F6MWrnFBCXVnpN4n76EK,,0.0591,0.71,0.888,0.0,0.134,-6.457000000000001,0.235,170.19299999999998,0.816,10,2019-01-18
2451,2451,52,goodbye,Billie Eilish,10129260,2019-03-29--2019-04-05,global,3LgWsmilsrWXiPYQFRD0T7,,0.8370000000000001,0.153,0.138,0.55,0.254,-21.877,0.0503,74.318,0.0503,76,2019-03-29
4649,4649,50,Sanctuary,Joji,10127610,2019-06-14--2019-06-21,global,3xaugmCyXrVkrDTXbFkMW3,,0.42200000000000004,0.552,0.65,0.000275,0.37200000000000005,-7.199,0.128,167.78799999999998,0.316,80,2019-06-14
8239,8239,40,Make It Right (feat. Lauv),BTS,10119927,2019-10-18--2019-10-25,global,314ZkcV7oLWG8yWE7LABvH,Lauv,0.0304,0.584,0.685,0.0,0.18899999999999997,-7.811,0.425,97.551,0.345,79,2019-10-18
3853,3853,54,NEW MAGIC WAND,"Tyler, The Creator",10108040,2019-05-17--2019-05-24,global,0fv2KH6hac06J86hBUTcSf,,0.0967,0.621,0.73,0.000131,0.6729999999999999,-5.414,0.107,139.566,0.46399999999999997,72,2019-05-17
